,club_name,league_name,league_id
10.0,Manchester City,Premier League,13.0
11.0,Manchester United,Premier League,13.0
9.0,Liverpool,Premier League,13.0
18.0,Tottenham Hotspur,Premier League,13.0
5.0,Chelsea,Premier League,13.0
95.0,Leicester City,Premier League,13.0
13.0,Newcastle United,Premier League,13.0
2.0,Aston Villa,Premier League,13.0
1.0,Arsenal,Premier League,13.0
19.0,West Ham United,Premier League,13.0
110.0,Wolverhampton Wanderers,Premier League,13.0
7.0,Everton,Premier League,13.0
1799.0,Crystal Palace,Premier League,13.0
1943.0,AFC Bournemouth,Premier League,13.0
17.0,Southampton,Premier League,13.0
144.0,Fulham,Premier League,13.0
14.0,Nottingham Forest,Premier League,13.0
8.0,Leeds United,Premier League,13.0
1808.0,Brighton & Hove Albion,Premier League,13.0
1925.0,Brentford,Premier League,13.0
1795.0,Watford,Championship,14.0
12.0,Middlesbrough,Championship,14.0
1792.0,Norwich City,Championship,14.0
1796.0,Burnley,Championship,14.0
109.0,West Bromwich Albion,Championship,14.0
1952.0,Hull City,Championship,14.0
1794.0,Sheffield United,Championship,14.0
3.0,Blackburn Rovers,Championship,14.0
15.0,Queens Park Rangers,Championship,14.0
1801.0,Preston North End,Championship,14.0
1800.0,Coventry City,Championship,14.0
1919.0,Bristol City,Championship,14.0
1793.0,Reading,Championship,14.0
97.0,Millwall,Championship,14.0
1960.0,Swansea City,Championship,14.0
1939.0,Huddersfield Town,Championship,14.0
1806.0,Stoke City,Championship,14.0
1923.0,Luton Town,Championship,14.0
1961.0,Cardiff City,Championship,14.0
88.0,Birmingham City,Championship,14.0
1797.0,Rotherham United,Championship,14.0
1917.0,Wigan Athletic,Championship,14.0
1926.0,Blackpool,Championship,14.0
106.0,Sunderland,Championship,14.0
