id,club_name,league_name,league_id
10,Manchester City,Premier League,13
11,Manchester United,Premier League,13
9,Liverpool,Premier League,13
18,Tottenham Hotspur,Premier League,13
5,Chelsea,Premier League,13
95,Leicester City,Premier League,13
13,Newcastle United,Premier League,13
2,Aston Villa,Premier League,13
1,Arsenal,Premier League,13
19,West Ham United,Premier League,13
110,Wolverhampton Wanderers,Premier League,13
7,Everton,Premier League,13
1799,Crystal Palace,Premier League,13
1943,AFC Bournemouth,Premier League,13
17,Southampton,Premier League,13
144,Fulham,Premier League,13
14,Nottingham Forest,Premier League,13
8,Leeds United,Premier League,13
1808,Brighton & Hove Albion,Premier League,13
1925,Brentford,Premier League,13
1795,Watford,Championship,14
12,Middlesbrough,Championship,14
1792,Norwich City,Championship,14
1796,Burnley,Championship,14
109,West Bromwich Albion,Championship,14
1952,Hull City,Championship,14
1794,Sheffield United,Championship,14
3,Blackburn Rovers,Championship,14
15,Queens Park Rangers,Championship,14
1801,Preston North End,Championship,14
1800,Coventry City,Championship,14
1919,Bristol City,Championship,14
1793,Reading,Championship,14
97,Millwall,Championship,14
1960,Swansea City,Championship,14
1939,Huddersfield Town,Championship,14
1806,Stoke City,Championship,14
1923,Luton Town,Championship,14
1961,Cardiff City,Championship,14
88,Birmingham City,Championship,14
1797,Rotherham United,Championship,14
1917,Wigan Athletic,Championship,14
1926,Blackpool,Championship,14
106,Sunderland,Championship,14
